id	name	source	preset_source	thumbnail_mp4	thumbnail_webp
4ae118f4-fcb4-40d3-b809-a0b28a50f2e9	Comic Burst	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/a2826d45-5b27-487b-86df-7bad6a161061.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/a4b62824-428c-4072-af8e-84c98254af9d.webp
8bd8b5d0-4560-4b7e-bb8b-63f009ee1de9	Comic Pop	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/d6714a54-d1a4-45fe-964f-ea012e851bfd.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/87e0d337-30be-42c2-9d5a-65916ec4f204.webp
abe12582-7c28-4093-af94-887423c30382	Pink Wash	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/9d2dca52-9349-465a-b9db-ba41c3c0cff6.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/72aab82e-f42d-4414-accb-71513c73c27c.webp
9ae2ba43-f648-49d6-8b95-d9515a99e92a	Gold Stars	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/7b115462-c29b-4e35-aa94-4c1343940cd0.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/25f63f30-7a71-4461-af73-ed5c11efba2d.webp
323beaf7-906b-4780-9c9f-a50f06001b98	Graffiti	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/57801423-33a0-4888-a3e0-c345ccc8806d.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/bbcc57d4-8bda-4d05-ade5-f828bfbf6425.webp
3cabcef7-943b-4cba-8673-38f3a086f725	Green Doodle	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/89a98819-aa67-4ec8-9354-b4ebb0e5a37d.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/e338a07d-949f-403f-83d1-985ad0a20597.webp
29148006-7239-452c-ac15-734416647f63	Green Pop	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/b1fc85fb-c98a-4339-913a-6648d7aa5a87.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/9ae2ed82-ba3a-403d-8e72-407e6c2021ce.webp
1eed6744-0d8b-4d17-9d7a-d76a83e9ef0e	Heart Pop	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/6f709a9d-470c-4fe5-9a9e-205047c968ee.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/ac05d43d-6d90-41ac-95de-46a382413314.webp
41e4a413-c819-4c79-9f77-cccab90bb413	Kinetic Type	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/8949596a-6762-4599-ada9-0a841aba410b.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/c44b26a0-f7bc-429d-88a0-eb02aea8b70b.webp
11ba01ae-ecc2-4d5d-9dbb-1b0a15f52862	Liquid Chrome	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/f944bfdd-96a0-4337-83cd-1a7cd19d6de5.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/4192bae2-4b07-48f0-a0f4-058003279bb6.webp
a0172ebb-6109-4a24-b7de-36514052d629	Mascot	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/10b94098-f029-4a9d-903c-bcb6488bf024.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/52c07ef3-42f0-456e-8c1c-cfbf8897d545.webp
a13f2537-2b1e-481b-a036-c4054bff061c	Neon Pop	preset	cms	https://cdn.higgsfield.ai/reels_preset_thumbnail/41455531-bb3a-4a60-8033-7bc1d1d6193c.mp4	https://cdn.higgsfield.ai/reels_preset_thumbnail/db8c35d6-7f44-47d1-af7b-b3c9d34fd684.webp
